INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,SMA_5,SMA_10,RSI_14,MACD,MACD_Signal
,AUROPHARMA,29-Aug-24,0.0,XX,1210.1,1218.75,1142.8,1200.0,1218.2,7,45.12,2750,550,4-Jun-24,970.0300000000003,2414.655,43.399211970123574,-1005.2196079948599,-1130.6858972696084
,AXISBANK,27-Jun-24,0.0,XX,1219.9,1230.5,1094.75,1133.4,1133.4,75423,546296.77,45203125,-2475000,4-Jun-24,1072.8600000000004,2313.9849999999997,43.202923977404005,-990.4063868420067,-1102.629995184088
,AXISBANK,25-Jul-24,0.0,XX,1226.05,1229.5,1115.15,1140.2,1140.2,2955,21484.99,499375,174375,4-Jun-24,1177.1400000000003,1877.8649999999998,43.231155955471664,-966.9714541798908,-1075.4982869832486
,AXISBANK,29-Aug-24,0.0,XX,1230.9,1232.6,1120.05,1144.65,1144.65,159,1166.95,53125,31250,4-Jun-24,1165.7800000000002,1440.15,43.251035620017184,-937.2361484852997,-1047.845859283659
,BAJAJ-AUTO,27-Jun-24,0.0,XX,9241.0,9334.95,8732.2,9180.15,9180.15,11739,133256.4,2034750,-118250,4-Jun-24,2759.6800000000003,1807.1599999999999,66.24061750440383,-262.2499557218989,-890.7266785713069
,BAJAJ-AUTO,25-Jul-24,0.0,XX,9154.7,9374.05,8760.15,9238.05,9238.05,383,2626.83,19875,900,4-Jun-24,4367.29,2668.66,66.34641000275961,274.1927873915565,-657.7427853787342
,BAJAJ-AUTO,29-Aug-24,0.0,XX,9300.0,9401.0,8813.5,9300.0,9300.0,17,117.36,1725,300,4-Jun-24,6000.61,3536.7349999999997,66.4674904083394,696.2998620543317,-386.93425589212103
,BAJAJFINSV,27-Jun-24,0.0,XX,1576.0,1578.15,1428.05,1477.95,1477.95,13434,100635.96,10602000,-373500,4-Jun-24,6068.16,3622.65,44.6323434792967,395.0942953422118,-230.52854564525447
,BAJAJFINSV,25-Jul-24,0.0,XX,1553.2,1580.2,1438.0,1490.65,1490.65,573,4330.85,201500,-500,4-Jun-24,6137.36,3651.5699999999997,44.664128420212826,155.61763429605253,-153.29930965699307
,BAJAJFINSV,29-Aug-24,0.0,XX,1608.75,1608.75,1454.0,1502.45,1502.45,92,694.72,13000,6000,4-Jun-24,4601.820000000001,3680.75,44.695896107271764,-32.838640133799345,-129.20717575235432
