Price,Close,High,Low,Open,Volume,SMA_5,SMA_10,RSI_14,MACD,MACD_Signal
2023-08-09,19632.55078125,19645.5,19467.5,19578.80078125,266500.0,19539.8703125,19601.9205078125,56.01592765467088,98.0463132582554,146.760478866723
2023-08-10,19543.099609375,19623.599609375,19495.400390625,19605.55078125,312200.0,19572.16015625,19590.2404296875,52.09911062401941,86.3928820650217,134.68695950638272
2023-08-11,19428.30078125,19557.75,19412.75,19554.25,235500.0,19554.4203125,19568.4654296875,47.507934004642905,67.12042538724563,121.1736526825553
2023-08-14,19434.55078125,19465.849609375,19257.900390625,19383.94921875,243900.0,19521.8703125,19536.5404296875,47.77775545388037,51.754592658078764,107.28984067766
2023-08-16,19465.0,19482.75,19317.19921875,19369.0,0.0,19500.700390625,19509.6853515625,49.149148227250684,41.55503640123425,94.14287982237485
2023-08-17,19365.25,19461.55078125,19326.25,19450.55078125,268700.0,19447.240234375,19493.5552734375,44.981757896668896,25.13310444614035,80.34092474712796
2023-08-18,19310.150390625,19373.80078125,19253.599609375,19301.75,256100.0,19400.650390625,19486.4052734375,42.821856265957805,7.585090862277866,65.78975797015794
2023-08-21,19393.599609375,19425.94921875,19296.30078125,19320.650390625,262600.0,19393.71015625,19474.065234375,46.97464264347448,0.4071251243549341,52.71323140099734
2023-08-22,19396.44921875,19443.5,19381.30078125,19417.099609375,208700.0,19386.08984375,19453.980078125,47.11589069724732,-4.9939575421012705,41.17179361237761
2023-08-23,19444.0,19472.05078125,19366.599609375,19439.19921875,225200.0,19381.88984375,19441.2951171875,49.5317631945165,-5.375439103660028,31.862347069170085
2023-08-24,19386.69921875,19584.44921875,19369.0,19535.150390625,268300.0,19386.1796875,19416.7099609375,46.759670021814024,-10.184064596578537,23.45306473602036
2023-08-25,19265.80078125,19339.55078125,19229.69921875,19297.400390625,466500.0,19377.309765625,19388.980078125,41.48430320438726,-23.47976830645348,14.066498127525591
2023-08-28,19306.05078125,19366.849609375,19249.69921875,19298.349609375,248200.0,19359.8,19376.755078125,43.75920451239296,-30.418228269387328,5.169552848143007
2023-08-29,19342.650390625,19377.900390625,19309.099609375,19374.849609375,307400.0,19349.040234375,19367.5650390625,45.82178141213173,-32.5880701902679,-2.3819717595391747
2023-08-30,19347.44921875,19452.80078125,19334.75,19433.44921875,233000.0,19329.730078125,19355.8099609375,46.10089672476683,-33.533902269988175,-8.612357861628976
2023-08-31,19253.80078125,19388.19921875,19223.650390625,19375.55078125,562600.0,19303.150390625,19344.6650390625,41.59716326330955,-41.363316694041714,-15.162549628111522
2023-09-01,19435.30078125,19458.55078125,19255.69921875,19258.150390625,333000.0,19337.050390625,19357.180078125,51.488761087684246,-32.547463987026276,-18.639532499894475
2023-09-04,19528.80078125,19545.150390625,19432.849609375,19525.05078125,296800.0,19381.600390625,19370.7001953125,55.6554618244511,-17.810856151194457,-18.47379723015447
2023-09-05,19574.900390625,19587.05078125,19525.75,19564.650390625,256800.0,19428.050390625,19388.5453125,57.5896218622911,-2.384646345042711,-15.25596705313212
2023-09-06,19611.05078125,19636.44921875,19491.5,19581.19921875,287600.0,19480.770703125,19405.250390625,59.09628263422228,12.612382770545082,-9.682297088396679
2023-09-07,19727.05078125,19737.0,19550.05078125,19598.650390625,304900.0,19575.420703125,19439.285546875,63.568749144228185,33.47202230246694,-1.051433210223954
2023-09-08,19819.94921875,19867.150390625,19727.05078125,19774.80078125,288100.0,19652.350390625,19494.700390625,66.70821988271334,56.84429874710622,10.527713181242081
2023-09-11,19996.349609375,20008.150390625,19865.349609375,19890.0,248800.0,19745.86015625,19563.7302734375,71.69598719932962,88.57993910262303,26.138158365518272
2023-09-12,19993.19921875,20110.349609375,19914.650390625,20110.150390625,328100.0,19829.519921875,19628.78515625,71.48998875363401,112.18327358655006,43.34718140972463
